Question,Answer
땅 주인이 안 들어온지 오래 되었는데 알 수 있나요?,/land player 닉네임 으로 확인 하 실 수 있습니다.
금 괭이(금 호미)는 어디서 얻나요?,/마을 선택모드 명령어를 통해서 얻을 수 있습니다.
마을 크기는 어떻게 늘리나요?,"길라잡이 45단계 이후, 대장장이 작업대 건축자재를 통해 청크를 늘릴 수 있으며 본인이 점유한 땅과 붙혀서 땅을 점유 할 수 있습니다."
마을에 가입하고싶어요,디스코드 베어타운 구인구직 채널에서 확인하실 수 있습니다.
마을 전체 크기를 확인하고 싶어요,마을 전체 청크를 보시려면 /view 하시면 됩니다.
"마을3,마을4 중에 어디서 하면 좋을까요?",모든 마을 서버의 차이점은 지형 차이가 있으니 랜덤 스폰으로 이동하여 원하는 땅을 찾아보세요.
점유한 마을을 취소하고 싶은데 어떻게하나요?,"마을확장한 것과 반대로 , 확장한 청크 위에 서서 /unclaim 입력 하시면 됩니다."
마을 서버의 크기가 어떻게 되나요?,"마을1은 10,000 x 10,000 이며 , 마을2, 마을3은 25,000 x 25,000 입니다."
마을 레벨이 뭐에요?,마을 레벨은 건축자재를 넣어 건축 포인트를 쌓아 마을을 점유할 수 있는 청크를 늘릴 수 있습니다.
건축자재는 어떻게 하나요?,건축 자재는 대장장이 작업대를 쉬프트 + 우클릭하여 넣을 수 있어요.
건축자재 포인트 목록은 어떻게 봐요?,건축 자재에 따라 획득할 수 있는 건축 포인트는 /마을연구 건축자재 명령어로 확인할 수 있어요.
건축자재로 마을 크기는 얼만큼 늘어나요?,확장할 수 있는 범위는 /위키 메인 컨텐츠 > 마을 > 마을 확장에서 확인 해주시길 바랍니다.
마을은 어떻게 넓혀요?,건축자재를 넣어 건축 포인트를 쌓아 마을을 점유할 수 있는 청크를 늘릴 수 있습니다.
현재 마을에 가입된 상태인지 어떻게 확인하나요?,/마을 명령어를 통해 마을 정보가 나오는 경우 마을에 가입되어 있는 상태입니다.
마을 주민들끼리 서로의 상자를 열 수 없나요?,/cp 명령어를 통해 상자의 잠금을 해제하거나 상자 보호를 공유해야 합니다.
우리 마을이 내야하는 세금의 양을 어디서 보나요?,/마을 > 마을정보(책 아이콘)에 마우스 커서를 갖다 대면 하루마다 지불해야 하는 세금이 빨간색 글씨로 나옵니다.
청크의 높이 범위는 어떻게 되나요?,y 높이제한은 따로 없으며 마인크래프트 건축 제한 높이까지 블럭을 설치할 수 있습니다.
본인 마을로 어떻게 이동하나요?,"/마을 워프 , /land spawn , shift+f > 문 아이콘 클릭 등을 통해서 이동할 수 있습니다."
금 호미가 금 괭이 인가요?,"네, 맞습니다. 마을 월드에서 /selection 명령어를 통해서도 금 괭이를 사용할 수 있습니다."
마을 금고에 돈이 없을 때 마을유지비를 내면 어떻게 되나요?,마을 유지비가 부족한 만큼 마을 청크가 삭제되고 추후에 다시 마을 청크를 구매하셔야 합니다.
마을을 어떻게 삭제하나요?,마을장이 마을서버에서 /마을 삭제 하시면 됩니다.
마을원 모집글을 어디서 확인하나요?,/디스코드 > 구인구직 게시판에서 확인할 수 있습니다.
마을을 청크 단위로 어떻게 보나요?,/land map 하시면 마을을 청크 단위로 볼 수 있습니다.
마을 유지비는 플레이어 소지비에서 자동으로 빠져나가나요?,"아니오, /마을 예금 금액 명령어를 통해 꼭 마을 금고안에 유지비를 넣어두셔야 합니다."
마을 유지비와 세금은 다른 건가요?,마을 유지비는 마을의 청크유지를 위해서 마을 금고에서 빠져나가는 금액이고 세금은 마을원들로 부터 걷는 금액입니다.
매일 마을 점유를 해야 하나요?,/마을 예금 금액을 통해 마을 금고에 마을유지비를 넣어두셔야 다음날 마을 청크가 사라지지 않습니다.
마을 점유 권한 마을원한테는 못 주나요?,/마을 > 입주민권한 > 관리권한 에서 설정하시면 됩니다.
마을서버 상관없이 아무데나 해도 되나요?,마을 서버마다 차이점은 지형 차이가 있으니 랜덤 스폰으로 이동하여 원하는 땅을 찾아보세요.
마을1과 2 따로 만들 수 있나요?,"네, 마을1이 있으셔도 마을2, 마을3 을 만드실 수 있습니다."
마을 어떻게 옮겨요?,"/unclaimall 입력 후, 옮길 영토에 가서 /claim 으로 구매하면 됩니다."
건축자재가 무엇인가요?,야생을 하여서 얻을 수 있는 아이템 중 마을 레벨을 올릴 때 사용할 수 있는 아이템을 뜻합니다
알바 권한 어떻게 주죠?,/마을 > 입주민권한 > 행동 권한에서 설정 하실 수 있습니다.
마을원은 몇명까지 할 수 있나요?,기본 마을원은 25명까지 입니다. 로얄젤리 상점에서 마을 인원 확장권을 구매하시면 50명까지 됩니다.
마을 권한 어떻게 줘요?,마을 권한은 /마을 > 입주민 권한 > 해당하는 입주민 종류 > 필요 권한 활성화하면 됩니다
다른 사람을 마을로 오게 하려면 어떻게 해야 하나요?,"제3자를 마을에 오게 하려면 마을 > 입주민 권한 > 해당 등급 > 스폰으로 이동, 입장 활성화하시면 직접 스폰으로 오실 수 있습니다."
마을을 테러당했는데 어떻게 해야 하나요?,"마을 테러는 신고 시 처벌은 가능하지만, 복구는 불가능합니다. 공지된 내용입니다"
플라이 시간이 날아 갔어요,"플라이는 마을 1, 마을 2 서버당 각각 적용되며 다른 서버에서 사용하면 플라이 시간은 날아갑니다. 또한 마을에서 플라이가 안되는 경우, 길라잡이가 15단계 이상인지 확인해 주세요."
제 상자인데 안열려요,유지비가 없어 영토가 삭제되신겁니다. /claim 으로 재점령 하세요.
제 마을인데 권한이 없대요,유지비가 없어 영토가 삭제되신겁니다. /claim 으로 재점령 하세요.
마을을 비공개로 할 순 없나요?,/마을 > 입주민 권한 > 방문자 > 행동 권한 > 입장을 막으시면 비공개로 설정이 가능합니다.
마을 비공개 권한은 어떻게 하죠?,/마을 > 입주민 권한 > 방문자 > 행동 권한 > 입장을 막으시면 비공개로 설정이 가능합니다.
스킬은 어떻게 올리나요?,/스킬 > 해당 스킬 > 돋보기 아이콘에서 올리는 방법을 확인 할 수 있습니다.
어떤 스킬이 제일 잘 오르나요?,많은 분들이 농사 채광 발굴 벌목을 추천 하지만 자기가 원하는 스킬을 올리는게 가장 좋습니다.
스킬은 어떻게 쓰나요?,"해당 스킬 레벨을 7레벨까지 올리셔야 하며, 사용 하고싶은 도구(검, 방패 등) 를 들어 우클릭 하여 발동 할 수 있습니다."
스킬 정보는 어떻게 보나요?,"/스킬, /sk 로 확인 가능합니다."
백병전은 어떻게 올려요?,"플레이어, 몹, 동물을 죽여야만 올라갑니다. /스킬 > 원하는 스킬 > 돋보기 누르시면 올릴 수 있는 방법이 있습니다."
연금술은 어떻게 올리나요?,양조기로 포션을 제조하셔야 올라갑니다. 양조 포션은 네이버에 검색하셔서 확인 해주세요. 제작한 포션을 마시면 치유술도 올라갑니다.
발굴은 어떻게 올리나요?,"흙, 모래 등 캐시면 됩니다. /스킬 > 원하는 스킬 > 돋보기 누르시면 올릴 수 있는 방법이 있습니다."
방어술은 어떻게 올리나요?,"몹, 플레이어에게 맞으면 올릴 수 있습니다. /스킬 > 원하는 스킬 > 돋보기 누르시면 올릴 수 있는 방법이 있습니다."
대장술 은 어떻게 올리나요?,숫돌로 마법부여를 해제 하여 올릴 수 있습니다. /스킬 > 원하는 스킬 > 돋보기 누르시면 올릴 수 있는 방법이 있습니다.
마법은 어떻게 올리나요?,고대도시 바이옴에 있는 스컬크 블록을 캐셔서 올릴 수 있습니다. /스킬 > 원하는 스킬 > 돋보기 누르시면 올릴 수 있는 방법이 있습니다.
길라잡이 스킬 레벨 뭐 부터 올리는게 좋은가요?,"스킬 레벨은 7랩씩 꼭 올리시는걸 추천 드리며, 농사 채광 낚시 등 취향껏 올리시면 됩니다."
스킬 레벨은 뭐가 잘 올라요?,"스킬 레벨은 7랩씩 꼭 올리시는걸 추천 드리며, 농사 채광 낚시 등 취향껏 올리시면 됩니다."
스킬 레벨 빨리 오르는게 뭐죠?,"스킬 레벨은 7랩씩 꼭 올리시는걸 추천 드리며, 빨리 오르는건 농사를 대부분 하시지만 취향껏 올리시면 됩니다."
벌목은 어떻게 올리죠?,나무를 캐시면 올라갑니다. /스킬 > 원하는 스킬 > 돋보기 누르시면 올릴 수 있는 방법이 있습니다.
궁술은 어떻게 올리나요?,"플레이어, 몹, 동물을 죽여야만 올라갑니다. /스킬 > 원하는 스킬 > 돋보기 누르시면 올릴 수 있는 방법이 있습니다."
지구력은 잠수 타고 있어도 오르나요?,"아니요 지구력은 플레이어가 활발하게 움직여야만 오릅니다. 달리기, 걷기, 수영으로 올리 실 수 있습니다."
각종 스킬레벨은 어떻게 올려요?,/스킬 > 해당 스킬 > 돋보기 아이콘에서 올리는 방법을 확인 할 수 있습니다.
커스텀 농사 어떻게 해요?,"커스텀 농사는 스폰 > 하버의농장 > 하버,하버조수에게 씨앗 화분 등 커스텀 농사에 필요한 재료를 구매하여 할 수 있습니다."
커스텀 작물 청크당 몇개인가요?,"한 청크당 허수아비, 스프링쿨러 포함 32개 입니다."
허수아비는 뭔가요?,허수아비가 설치된 1청크의 작물들은 까마귀로부터 보호 됩니다.
비닐하우스는 뭔가요?,계절과 상관없이 작물을 키울수있게끔 합니다. 작물 위에 설치하시면 됩니다.
비닐하우스 구매는 어디서하나요?,"스폰 > 하버의농장 > 하버,하버조수에게 비닐하우스를 구매 할 수 있습니다."
비닐하우스 환불은 어떻게 하나요?,"스폰 > 하버의농장 > 하버,하버조수에게 비닐하우스를 환불 할 수 있으나, 악용 방지를 위해 반값으로 판매가 가능하다는 점 알아주세요."
커작 위에 블럭을 둬도 되나요?,네 상관 없이 자랍니다.
비닐하우스 높이가 따로 있어요?,정해진 높이 상관 없이 설치하셔도 됩니다.
비닐하우스 손으로 그냥 깨도 되나요?,"네, 맨손이나 도구로 캐시면 아이템으로 회수가 가능합니다."
성장촉진제가 뭔가요?,"성장촉진제는 확률로 성장 속도가 빨라지며, 최대 14번까지 사용됩니다."
토양관측기가 뭐에요?,"한 화분에는 하나의 비료만 적용이 가능하며, 토양관측기로 적용된 비료를 확인할 수 있습니다."
보습 토양은 뭐에요?,"확률로 화분이 메마르지 않게 해주며, 최대 28번까지 사용됩니다."
비료가 뭔가요?,"비료는 농작물의 품질이 올라가며, 최대 28번까지 사용됩니다."
생산량 증폭제가 뭔가요?,생산량 증폭제는 수확할 때 확률에 따라 농작물이 1~2개 더 나옵니다. 최대 14까지 사용됩니다.
과성장 촉진제가 뭐에요?,"거대 농작물로 성장할 확률을 올려주며, 최대 14번까지 사용됩니다."
커스텀 농작물은 경험치 안주나요?,"농사 스킬 레벨은 오르지만, 바닐라 경험치를 주진 않습니다."
커스텀 농작물 어디에 판매하나요?,/스폰 > 우측 버스정류장 > 하버의 농장 > npc에게 판매하시면 됩니다.
커스텀 작물에 뼛가루 사용 가능한가요?,"아니오, 뼛가루 사용 불가능 합니다."
뼛가루를 이용했을 때 과성장 농작물이 나오나요?,"아니오, 나오지 않습니다."
커스텀 농작물을 수확했을 때 씨앗을 안 나오나요?,수확 하실 때 나옵니다.
커스텀 농작물은 사람이 없어도 자라나요?,"네, 커스텀 농작물은 자동으로 청크로딩이 되기에 근처에 사람이 없어도 자랍니다. "
커스텀 농작물이 자라는데 얼마나 걸리나요?,"고추, 용과 등을 제외한 대부분의 커스텀 농작물은 마인크래프트 시간으로 3일이면 자랍니다.(ex 봄3일 > 봄6일) "
커스텀 화분 맨손으로 캐도 되나요?,"네, 맨손이나 도구로 캐시면 아이템으로 회수가 가능합니다."
커스텀 작물이 안 심어져요,"화분에 계절작물을 키우기 위해서는 충분한 조명과 물이 필요하며, 청크당 64개의 작물을 심을수 있습니다."
화분은 어디서 얻나요?,"커스텀 농사는 스폰 > 하버의농장 > 하버,하버조수에게 씨앗 화분 등 커스텀 농사에 필요한 재료를 구매하여 할 수 있습니다."
마을 달력 1일은 현실 시간으로 몇 분인가요?,마을 달력의 하루는 마인크래프트의 하루와 같으므로 20분 입니다. 다만 유저가 많을 경우 서버 렉으로 인하여 하루가 20분보다 길어질 수 있습니다.
허수아비는 어디다가 설치해야하나요?,"아무데나 설치하셔도 상관 없으나, 허수아비는 1청크 안에 있는 작물들만 보호 합니다."
커스텀 농작물은 어디다 파나요?,커스텀 농사는 스폰 > 하버의농장 > 하버에게 팔 수 있습니다.
커스텀 농사 상점 어디에요?,커스텀 농사는 스폰 > 하버의농장 > 하버와 하버 조수가 있습니다.
어두우면 농작물을 못 심나요?,네 모든 농작물과 커스텀 농작물은 빛이 필요 합니다.
빛이 없으면 커스텀작물 못 심나요?,"커작의 필수 조건은 조명(빛 블럭으로 가능), 수분(물뿌리개, 스프링쿨러) 이 필요합니다."
비료같은건 심을때마다 줘야하나요?,네 심을때 마다 줘야하며 한 화분에는 하나의 비료만 적용이 가능합니다. 토양관측기로 적용된 비료를 확인할 수 있습니다.
하버는 어디에 있나요?,스폰 > 버스 > 하버의농장에 하버와 하버 조수가 있습니다.
커스텀인챈트 슬롯 어떻게 늘려요?,/e > 마법상점에서 마법의 눈으로 슬롯을 늘릴 수 있습니다.
커스텀 인챈트는 몇개까지 달 수 있나요?,"기본 2개, 8개의 커스텀 인챈트를 달 수 있습니다."
커스텀 인첸트를 뺄 수 있나요?,/e > 마법상점에서 암흑의 주문서로 뺄 수 있습니다.
암흑의 주문서 50% 100%는 뭔가요?,"100%는 100% 확률의 책을, 50% 50% 확률의 책을 빼 줍니다."
커인 책 종류 어디서 봐요?,"/e 원하는 책을 우클릭하시면 종류를 볼 수 있습니다. ( 좌클릭 구매 , 우클릭 목록 )"
암흑 주문서 어떻게 사용하나요?,추출을 원하는 (커스텀 인챈트가 부여된) 아이템에 드래그 하면 됩니다.
마법의 가루가 뭔가요?,특정 등급의 커스텀 인챈트 북 성공 확률을 높여주는 아이템입니다.
마법의 가루를 어떻게 얻나요?,"/e > 땜장이 에서 쓸모없는 커스텀 인챈트 북을 마법의 보따리로 교환이 가능하고, 마법의 보따리에서 확률적으로 교환한 등급의 마법 가루가 나옵니다."
타버린 가루가 뭔가요?,/e > 땜장이를 통해 얻은 마법의 보따리에서 확률적으로 얻을 수 있는 가루입니다.
타버린 가루를 어디에 사용하나요?,/스폰 > 우측 버스정류장 > 마법 상점 에서 npc를 통해 마법의 가루로 교환할 수 있습니다.
적용된 커인은 뺄 수 없나요?,/e > 마법상점에서 암흑의 주문서로 뺄 수 있습니다.
커인책은 어떻게 얻을 수 있나요?,"마법부여 스킬 2레벨까지 올리면 농사, 채광 등 행동으로 바닐라 경험치를 얻으실 수 있으며 바닐라 경험치로 /e 커인을 뽑으시면 됩니다."
커인책을 쉽게 얻는 방법이 있나요?,"마법부여 스킬 2레벨까지 올리면 농사, 채광 등 행동으로 바닐라 경험치를 얻으실 수 있으며 바닐라 경험치로 /e 커인을 뽑으시면 됩니다."
돈 어떻게 벌어요?,초반은 농사와 광질을 추천합니다. 그 외에 유저와의 거래 등 다양한 방법이 존재합니다.
어떤 활동이 돈을 많이 버나요?,"서버 내에서 주로 낚시, 바닐라 농사, 커스텀 농사 등 활동을 하여 코인을 법니다."
경매장에 아이템 등록 어떻게 해요?,스폰에서 팔고싶은 아이템을 손에  들고 /경매 등록 가격 두번 입력하시면 됩니다. 경매장에 올릴 때는 등록 가격의 5%가 수수료로 붙습니다.
내가 경매 올린거 어디서 봐요?,스폰에서 /경매 내꺼 > 팔리지 않은 물품에서 확인 가능합니다
경매장 팔린거 어디서 받아요?,스폰에서 /경매 내꺼 > 황금사과 > 아이템 클릭하여 판매 금액을 받을 수 있습니다.
vip는 어떻게 해야 달아요?,"vip는 젤리20개로 구입 가능하며, /후원에서 확인 하실 수 있습니다."
루비는 어떻게 얻나요?,"상점 > 로얄젤리 상점에서 구매 가능하며, 치장 뽑기 시 중복일 경우 루비가 지급됩니다."
은행은 어디있나요?,/상점 에서 맨 왼쪽 윗 칸에 은행을 확인할 수 있습니다.
경매장이 뭐에요?,"유저들이 구매,판매 하고 싶은 템을 올리는 유저 상점 같은 개념 입니다."
후원은 어떻게 해요?,/후원을 통해 하실 수 있습니다.
베어코인은 어디서 얻어요?,"베어코인은 로비서버 파쿠르 맵을 통과하면 얻을 수 있고, 잠수코인을 베어코인으로 교환 할 수 있습니다."
잠수코인은 어디서 얻어요?,"로비서버 잠수 전투 시, 가상 전투를 하며 몬스터를 잡을 때 마다 잠수 코인을 얻게 됩니다."
농작물 중 효율이 좋은게 뭔가요?,/상점 > 농작물 > 판매가 %가 낮은 작물 일수록 인기가 많은 작물이고 효율이 높은 작물이라는 뜻입니다.
농사는 뭐가 돈이 잘 벌려요? / 농사 작물 추천해주세요,/유동가격 을 통해 실시간으로 가격이 변동되니 여러 작물을 같이 병행하는게 좋습니다.
베어코인을 어디서 교환 할 수 있나요?,/스폰 서버에 NPC를 통해 교환하실 수 있습니다.
베어코인이 뭐에요? / 베어코인 어떻게 써요?,"베어 타운을 플레이하면서 다양한 활동으로 얻을 수 있는 베어 타운의 화폐입니다. 베어 코인은 상점, 경매장, 하버의 농장 등 여러 곳에서 물건을 사고팔 때 사용합니다"
로얄젤리는 어디에 사용하나요?,"/후원 에서 VIP 권한 구매, /후원상점 에서 아이템 구매, /보급상자 에서 커스텀 도구 열쇠 구매 등에 사용됩니다."
낚시는 어떻게 해요?,낚싯대를 들고 물에 우클릭을 하면 됩니다. 미끼를 장착해서 서버만의 커스텀 물고기를 낚을 수 있습니다.
미끼는 어떻게 끼워요?,미끼를 사용할 낚싯대에 드래그 하시면 됩니다.
미끼 어떻게 장착하나요?,미끼를 사용할 낚싯대에 드래그 하시면 됩니다.
미끼는 어떻게 빼요?,미끼를 빼는 명령어 /fish removebait 를 사용하여 뺄 수 있습니다. 단 미끼를 빼면 미끼가 사라진다는 점 알아주세요. 
미끼는 어디서 구해요?,"/어부의 미끼 상점에서 구매 가능합니다. 혹은, 유저 거래로도 구할 수 있습니다."
미끼는 어디서 사요?,"/어부의 미끼 상점에서 구매 가능합니다. 혹은, 유저 거래로도 구할 수 있습니다."
미끼 레벨 제한 있나요?,미끼 상점에서 구매할 때 레벨 제한이 있지만 사용과는 무관합니다.
커스텀 낚시는 어디서 해야해요 ?,"야생,마을 상관없이 되며, 커스텀 물고기는 미끼를 장착하셔야하고 낚시대회 참여를 위해선 꼭 야생에서 낚시를 해주시길 바랍니다."
커스텀 낚시 어디서든 해도 되나요?,"야생, 마을 상관없이 되며, 다른 플레이어들과 같이 낚시를 하여 파티 낚시 효과를 받으며 낚시하는게 좋습니다."
낚시 강화는 어떻게 해요?,/어부 낚싯대 강화에서 재료를 모아 강화석을 만들어 강화를 할 수 있으며 자세한 정보는 위키에서 확인해주세요.
낚시 강화 재료는 어디서 얻나요?,"돌고래꼬리와 오징어촉수는 돌고래,오징어를 잡아 획득 가능, 게껍질과 게발은 낚시하며 나오는 게에게 얻을 수 있습니다. (확률드랍)"
낚시 배달이 뭐에요?,/어부 배달에서 확인 가능하며 커스텀 물고기 배달을 보내 보상을 받을 수 있습니다.
엔트로피가 뭔가요?,"어부 재화 입니다. 강화석 제작 및 배달, 토템 관련 강화에 쓰입니다. (확인 명령어 : /fish entropy)"
엔트로피는 어떻게 빼요?,/어부 > 낚싯대 강화 > 엔트로피 꺼내기로 꺼낼 수 있습니다.
강화석은 다 붙힐 수 있는건가요?,강화석에는 최대 강화 레벨이 있으며 모든 강화석을 다 붙일 수 있습니다.
물고기는 어떻게 업데이트해요?,물고기를 인벤에 넣은 후 /fish update 하시면 됩니다.
낚시 아이템은 어떻게 업데이트해요?,아이템을 손에 들고 /fish update 우클릭 하시면 됩니다.
낚시대회는 언제해요?,/ft time 명령어로 다음 낚시대회 시간을 알 수 있습니다.
낚시대회 참여 어떻게 해요?,대회 조건에 맞는 커스텀 물고기를 낚으면 자동으로 참여됩니다.
낚싯대 어떻게 만들어요?,"낚싯대는 직접 제작하시거나 스폰, 경매장, 유저구매를 통해서 얻을 수 있습니다."
낚싯대 어디서 얻나요?,"낚싯대는 직접 제작하시거나 스폰, 경매장, 유저구매를 통해서 얻을 수 있습니다."
낚시터 어떻게 가요?,"서버 내 정해진 낚시터가 아닌, 유저분들이 모여 만든 낚시터가 있습니다."
낚시대회는 마을에서 안되나요?,네. 낚시대회는 야생에서만 가능합니다.
커스텀 낚시는 어떻게 하나요?,커스텀 낚시는 낚싯대에 미끼를 장착하신 후 낚시하시면 됩니다.
낚시 토템이 뭔가요?,낚시 토템을 만들어 원하는 버프를 받으며 낚시 할 수 있습니다.
낚시 토템 어떻게 만들어요?,"/어부 > 토템 에서 설치 방법을 볼 수 있으며, 설치 후 아래 관측기를 낚싯대로 우클릭하면 재료를 소모해 토템을 생성 할 수 있습니다."
낚시 대회 1등하면 뭐가 좋아요?,"낚시 대회 보상은 1~3등, 참가한 모든 사람에게 주며, 코인과 일일랭킹 포인트를 줍니다. 자세한 설명은 /위키에서 확인 하실 수 있습니다."
파티 낚시를 어떻게 하나요?,따로 파티를 맺지 않고 주변에서 같이 낚시를 하는 것으로도 파티 낚시 효과를 받을 수 있습니다.
낚시로 돈을 어떻게 버나요?,"모은 엔트로피를 엔트로피 결정으로 추출해서 판매하거나 게 발, 게 껍질, 돌고래 꼬리등을 판매해서 수익을 얻습니다."
바다 바이옴이 따로 있나요?,"네, 바다 따뜻한 바다, 차가운 바다 등 서로 다른 바이옴이 존재하고 바이옴마다 낚이는 커스텀 물고기의 종류가 다릅니다."
따바가 뭔가요?,마인크래프트 바이옴 중 따뜻한 바다 바이옴을 줄여서 따바라고 부릅니다.
어부 스킬이 뭔가요?,어부 레벨을 올리면 어부 스킬을 찍을 수 있을 수 있습니다. 어부 스킬은 /어부 > 낚시 스킬에서 확인 가능합니다.
어부 스킬은 뭐 먼저 찍어야해요?,"낚시의 행운을 추천 드리며, 스킬마다 옵션이 다르므로 본인의 취향 껏 사용하시면 됩니다. 어부 스킬 재분배도 된답니다."
물고기 손질은 어떻게 하나요?,물고기 손질은 커스텀 물고기만 가능합니다.
어부 레벨 안되는데 높은 미끼 써도 돼요?,미끼 상점에서 구매할 때 레벨 제한이 있지만 사용과는 무관합니다.
미끼 대리 구매는 어떻게 하는거에요?,다른 유저분들에게 대리 구매를 부탁하시면 됩니다.
미끼 자동으로 껴주진 않나요?,네. 지원하지않습니다.
낚시 강화석은 뭐부터 해야해요?,바이옴 강화석을 먼저 하시는걸 제일 추천 드립니다. 
낚시 강화석 추천 해주세요,바이옴 강화석을 먼저 하시는걸 제일 추천 드립니다. 
낚시 배달이 왔다는데 어떻게 해요?,낚시 배달은 길라잡이 37단계를 클리어 하셔야합니다.
다이아몬드 물고기는 어떻게 잡아요?,"새우, 황금 새우, 황금 불가사리,랍스터,황금랍스터 미끼로 낚시중 확률로 잡힙니다."
게는 어떻게 줍죠?,낚시하다 나오는 게를 죽이면 확률로 아이템을 드랍합니다.
게를 잡았는데 아이템이 안나와요,낚시하다 나오는 게를 죽이면 확률로 아이템을 드랍합니다.
게에 약탈이 적용되나요?,네 적용 됩니다.
커스텀 물고기는 따바에서만 나오나요?,아닙니다. /어부 > 도감에서  커스텀 물고기가 낚이는 곳을 확인 할 수 있습니다.
물고기 빨리 낚는법 없나요?,"미끼 인첸트가 높을 수 록 빨리 낚이며, 드워프 낚싯대가 미끼가 높아 빨리 낚을 수 있으며 강화석을 추가하여 낚을 수 도 있습니다."
길라잡이 다이아 물고기 사는건 안되나요?,네 안됩니다. 직접 낚으신 물고기만 카운트가 됩니다.
파티 낚시를 하면 경험치를 더 많이 받나요?,네 어부 경험치는 물고기 등급에 따라 차등 지급되며 파티 보너스도 동일합니다.
어부 레벨은 빨리 올리는법이 뭔가요?,"어부 경험치는 물고기 등급에 따라 차등 지급 됩니다. 파티 낚시나 강화석, 토템, 낚시 스킬도 취향껏 올리셔서 낚시 하시면 도움 됩니다."
배달전문가랑 행운의부적 차이가 뭐에요?,배달전문가 - 배달을 받기위한 물고기 수가 줄어듭니다. / 행운의부적 - 난이도 별 한개 배달의 필요 물고기 수가 줄어듭니다.
신화물고기 낚으려면 어떻게해요?,현재 신화 물고기는 낚이지 않습니다. 아직 준비중인 시스템 입니다.
어부레벨은 어떻게 올려요?,"어부 레벨과, 낚시 스킬레벨은 별개이며 어부 레벨은 커스텀 물고기를 낚아야만 올라갑니다."
강화석을 가마솥에 어떻게 넣어요?,가마솥에 물을 넣으신 후 강화 재료를 버리는키로 가마솥에 넣은 후 낚시대로 때리시면 강화석이 만들어집니다.
요리도구는 어디서 구매 할 수 있나요?,스폰 > 버스정류장 > 베케아 가구상점  으로 이동하시면 구매하실 수 있습니다.
요리솥은 어디서 구하나요?,요리솥은 현재 서버에서 사용이 불가합니다.
요리도구는 어떤게 있을까요?,"요리도구는 믹서기,반죽기,오븐,전자레인지,그릴,커피머신이 있습니다."
비트 스프 먹어도 버프 안뜨는데 적용된건가요?,네 아무것도 안 뜨셨어도 쿨타임이 생겼다면 적용 된겁니다.
요리 레시피는 어디서 확인 할 수 있나요?,요리레시피는 요리도구에서 확인하실수 있습니다.
요리 어떻게해요? ,스폰 > 버스정류장 > 베케아 가구상점  으로 이동하시면 구매하실 수 있습니다.
요리 레시피 어디서 봐요?,요리가구를 우클릭하면 조리 가능한 레시피와 소요시간이 나옵니다.
요리 쿨타임 있나요?,"쿨타임 요리 사용 후 30분, 지속시간 표시되지 않습니다."
